1,50085	NaN
3,00402	982,284
4,61223	NaN
6,11407	983,482
7,72469	NaN
9,22687	984,846
10,8358	NaN
12,3368	986,403
13,9484	NaN
15,4505	986,919
17,0606	NaN
18,5615	988,086
20,1707	NaN
21,6731	988,982
23,2827	NaN
24,7829	990,037
26,3936	NaN
27,8959	990,796
29,5044	NaN
31,0053	991,024
32,6127	NaN
34,1132	991,632
35,7227	NaN
37,2244	992,393
38,8360	NaN
40,3365	992,822
41,9468	NaN
43,4475	992,944
45,0565	NaN
46,5584	993,232
48,1682	NaN
49,6695	993,548
51,2795	NaN
52,7813	994,017
54,3906	NaN
55,8924	994,338
57,5021	NaN
59,0038	994,621
60,6178	NaN
62,1184	994,809
63,7272	NaN
65,2285	994,874
66,8354	NaN
68,3363	994,890
69,9467	NaN
71,4477	994,941
73,0574	NaN
74,5571	994,960
76,1688	NaN
77,6697	994,954
79,2799	NaN
80,7794	994,970
82,3879	NaN
83,8885	995,009
85,4967	NaN
86,9961	995,007
88,6032	NaN
90,1043	995,033
91,7137	NaN
93,2149	995,029
94,8263	NaN
96,3289	995,062
97,9375	NaN
99,4395	995,062
101,049	NaN
102,551	995,137
104,159	NaN
105,662	995,174
107,272	NaN
108,773	995,162
110,382	NaN
111,882	995,119
113,491	NaN
114,992	995,129
116,604	NaN
118,105	995,168
119,716	NaN
121,215	995,207
122,826	NaN
124,327	995,196
125,936	NaN
127,437	995,207
129,046	NaN
130,547	995,235
132,155	NaN
133,657	995,227
135,267	NaN
136,768	995,262
138,376	NaN
139,878	995,329
141,486	NaN
142,987	995,325
144,595	NaN
146,096	995,390
147,705	NaN
149,205	995,339
150,815	NaN
152,316	995,447
153,925	NaN
155,426	995,413
157,036	NaN
158,537	995,466
160,149	NaN
161,649	995,492
163,258	NaN
164,760	995,533
166,369	NaN
167,870	995,562
169,481	NaN
170,983	995,539
172,594	NaN
174,095	995,580
175,704	NaN
177,205	995,562
178,813	NaN
180,314	995,572
181,923	NaN
183,424	995,605
185,032	NaN
186,534	995,629
188,144	NaN
189,644	995,582
191,252	NaN
192,754	995,658
194,362	NaN
195,863	959,493
197,474	NaN
198,975	933,921
200,586	NaN
202,086	933,925
203,695	NaN
205,197	933,935
206,806	NaN
208,307	933,874
209,915	NaN
211,417	933,925
213,031	NaN
214,532	933,912
216,141	NaN
217,642	933,918
219,254	NaN
220,755	933,892
222,363	NaN
223,865	933,898
225,476	NaN
226,976	933,949
228,586	NaN
230,088	933,943
231,699	NaN
233,200	934,569
234,808	NaN
236,309	935,744
237,919	NaN
239,422	936,550
241,031	NaN
242,531	937,734
244,140	NaN
245,640	937,956
247,251	NaN
248,752	939,131
250,362	NaN
251,862	939,974
253,470	NaN
254,972	941,139
256,582	NaN
258,082	941,894
259,692	NaN
261,192	942,375
262,802	NaN
264,303	943,577
265,914	NaN
267,415	944,075
269,023	NaN
270,523	944,923
272,132	NaN
273,632	945,850
275,241	NaN
276,742	946,011
278,352	NaN
279,852	946,307
281,459	NaN
282,961	947,402
284,568	NaN
286,070	948,029
287,678	NaN
289,181	948,651
290,792	NaN
292,292	949,720
293,902	NaN
295,402	950,134
297,011	NaN
298,513	950,805
300,123	NaN
301,624	951,858
303,236	NaN
304,737	952,154
306,344	NaN
307,847	952,740
309,457	NaN
310,959	953,778
312,568	NaN
314,068	954,139
315,676	NaN
317,177	954,419
318,787	NaN
320,286	955,327
321,895	NaN
323,395	956,116
325,005	NaN
326,506	956,685
328,113	NaN
329,615	957,714
331,225	NaN
332,725	958,164
334,335	NaN
335,838	958,432
337,446	NaN
338,949	959,344
340,558	NaN
342,059	960,152
343,670	NaN
345,170	960,392
346,778	NaN
348,281	961,090
349,889	NaN
351,389	962,010
352,998	NaN
354,499	962,306
356,109	NaN
357,609	962,555
359,219	NaN
360,721	963,371
362,331	NaN
363,831	964,230
365,440	NaN
366,943	964,581
368,556	NaN
370,056	965,364
371,666	NaN
373,166	966,211
374,776	NaN
376,277	966,460
377,886	NaN
379,387	967,058
380,997	NaN
382,498	968,023
384,106	NaN
385,607	968,427
387,216	NaN
388,717	968,880
390,327	NaN
391,828	969,824
393,438	NaN
394,939	970,373
396,548	NaN
398,048	970,496
399,658	NaN
401,159	970,769
402,769	NaN
404,270	971,695
405,880	NaN
407,383	972,422
408,993	NaN
410,494	972,879
412,103	NaN
413,604	973,758
415,217	NaN
416,718	974,413
418,328	NaN
419,829	974,600
421,436	NaN
422,937	975,121
424,546	NaN
426,048	976,059
427,657	NaN
429,159	976,559
430,770	NaN
432,272	976,800
433,882	NaN
435,383	977,467
436,994	NaN
438,495	978,246
440,104	NaN
441,605	978,607
443,215	NaN
444,715	978,740
446,324	NaN
447,825	979,330
449,435	NaN
450,937	980,266
452,546	NaN
454,047	980,701
455,658	NaN
457,160	981,052
458,767	NaN
460,269	981,974
461,878	NaN
463,379	982,570
464,987	NaN
466,488	982,845
468,097	NaN
469,597	983,445
471,208	NaN
472,709	984,306
474,316	NaN
475,819	984,734
477,428	NaN
478,929	984,946
480,539	NaN
482,041	985,703
483,650	NaN
485,152	986,452
486,761	NaN
488,262	986,774
489,871	NaN
491,372	986,899
492,983	NaN
494,485	987,466
496,095	NaN
497,595	988,380
499,204	NaN
500,704	988,821
502,314	NaN
503,815	989,308
505,424	NaN
506,923	990,220
508,533	NaN
510,034	990,747
511,644	NaN
513,145	990,908
514,754	NaN
516,255	991,308
517,865	NaN
519,365	992,095
520,975	NaN
522,477	992,754
524,086	NaN
525,586	993,066
527,196	NaN
528,698	993,619
530,307	NaN
531,809	994,454
533,417	NaN
534,918	994,864
536,528	NaN
538,029	995,003
539,639	NaN
541,140	995,211
542,749	NaN
544,250	995,921
545,858	NaN
547,358	996,753
548,968	NaN
550,470	997,029
552,079	NaN
553,580	997,465
555,189	NaN
556,692	998,391
558,300	NaN
559,803	998,926
561,414	999,030
563,022	NaN
564,524	999,316
566,132	NaN
567,634	999,993
569,245	NaN
570,745	1000,74
572,354	NaN
573,856	1001,09
575,465	NaN
576,965	1001,46
578,575	NaN
580,077	1002,11
581,686	NaN
583,188	1002,82
584,795	NaN
586,295	1003,09
587,904	NaN
589,405	1003,18
591,014	NaN
592,515	1003,54
594,123	NaN
595,625	1004,26
597,233	NaN
598,734	1004,96
600,343	NaN
601,845	1005,30
603,454	NaN
604,957	1005,89
606,567	NaN
608,068	1006,68
609,678	NaN
611,179	1007,12
612,788	NaN
614,291	1007,28
615,900	NaN
617,401	1007,70
619,010	NaN
620,512	1008,47
622,122	NaN
623,623	1009,07
625,231	NaN
626,733	1009,33
628,341	NaN
629,843	1009,64
631,452	NaN
632,954	1010,46
634,562	NaN
636,063	1011,01
637,672	NaN
639,172	1011,26
640,781	NaN
642,284	1011,31
643,894	NaN
645,395	1011,49
647,005	NaN
648,506	1012,13
650,116	NaN
651,616	1012,88
653,228	NaN
654,729	1013,27
656,340	NaN
657,840	1013,58
659,452	NaN
660,953	1014,22
662,562	NaN
664,063	1014,91
665,672	NaN
667,175	1015,27
668,784	NaN
670,285	1015,51
671,892	NaN
673,393	1015,98
675,002	NaN
676,504	1016,71
678,114	NaN
679,615	1017,28
681,226	NaN
682,726	1017,45
684,335	NaN
685,837	1017,77
687,446	NaN
688,947	1018,40
690,556	NaN
692,056	1019,06
693,668	NaN
695,169	1019,37
696,778	NaN
698,279	1019,48
699,889	NaN
701,391	1019,73
703,002	NaN
704,503	1020,40
706,113	NaN
707,614	1021,12
709,224	NaN
710,725	1021,42
712,333	NaN
713,834	1017,33
715,444	NaN
716,945	1012,74
718,553	NaN
720,055	1009,03
721,666	NaN
723,168	1004,70
724,778	NaN
726,279	1005,07
727,886	NaN
729,386	1065,38
730,998	NaN
732,498	1084,54
734,107	NaN
735,609	1090,61
737,220	NaN
738,720	1094,72
740,331	NaN
741,831	NaN
743,332	1103,94
744,943	NaN
746,445	1107,38
748,055	NaN
749,556	1111,51
751,166	NaN
752,666	1117,21
754,276	NaN
755,779	1123,17
757,388	NaN
758,889	1126,75
760,497	NaN
761,999	1132,86
763,610	NaN
765,109	1137,70
766,719	NaN
768,219	1141,81
769,829	NaN
771,329	1148,23
