1,50335	983,153
3,11329	NaN
4,61400	986,766
6,22316	NaN
7,72396	988,853
9,33509	NaN
10,8360	990,920
12,4459	NaN
13,9459	992,593
15,5556	NaN
17,0561	994,068
18,6667	NaN
20,1683	995,033
21,7781	NaN
23,2801	996,692
24,8913	NaN
26,3916	997,649
28,0006	NaN
29,5009	998,922
31,1098	NaN
32,6136	999,632
34,2225	NaN
35,7224	1000,85
37,3307	NaN
38,8328	1001,25
40,4420	NaN
41,9426	1002,16
43,5509	NaN
45,0534	1002,91
46,6625	NaN
48,1633	1003,11
49,7705	NaN
51,2720	1003,21
52,8821	NaN
54,3842	1003,52
55,9926	NaN
57,4933	1004,14
59,1009	NaN
60,6041	1004,67
62,2134	NaN
63,7145	1004,97
65,3253	NaN
66,8263	1005,21
68,4359	NaN
69,9378	1005,34
71,5499	NaN
73,0518	1005,60
74,6624	NaN
76,1640	1005,95
77,7745	NaN
79,2737	1006,28
80,8824	NaN
82,3833	1006,52
83,9934	NaN
85,4936	1006,83
87,1043	NaN
88,6048	1006,96
90,2156	NaN
91,7162	1007,04
93,3262	NaN
94,8270	1007,16
96,4348	NaN
97,9359	1007,18
99,5453	NaN
101,046	1007,22
102,655	NaN
104,155	1007,20
105,763	NaN
107,264	1007,27
108,873	NaN
110,374	1007,28
111,983	NaN
113,484	1007,35
115,095	NaN
116,595	1007,37
118,204	NaN
119,705	1007,42
121,313	NaN
122,814	1007,47
124,422	NaN
125,924	933,972
127,531	NaN
129,034	934,000
130,645	NaN
132,145	933,967
133,753	NaN
135,254	933,990
136,863	NaN
138,364	933,990
139,974	NaN
141,475	933,986
143,084	NaN
144,587	933,996
146,196	NaN
147,696	933,976
149,305	NaN
150,806	933,976
152,414	NaN
153,915	933,998
155,524	NaN
157,025	934,569
158,636	NaN
160,137	935,583
161,746	NaN
163,247	935,932
164,855	NaN
166,356	936,720
167,967	NaN
169,468	937,632
171,077	NaN
172,578	937,830
174,187	NaN
175,688	938,097
177,298	NaN
178,798	938,797
180,407	NaN
181,908	939,674
183,518	NaN
185,020	940,149
186,630	NaN
188,130	940,943
189,741	NaN
191,240	941,647
192,848	NaN
194,348	941,910
195,956	NaN
197,457	942,292
199,066	NaN
200,567	943,128
202,176	NaN
203,677	943,779
205,286	NaN
206,787	944,091
208,396	NaN
209,897	944,630
211,506	NaN
213,007	945,515
214,616	NaN
216,117	945,919
217,726	NaN
219,227	946,015
220,837	NaN
222,338	946,125
223,945	NaN
225,446	946,511
227,055	NaN
228,555	947,370
230,166	NaN
231,667	947,931
233,278	NaN
234,780	948,094
236,389	NaN
237,891	948,533
239,499	NaN
241,000	949,259
242,609	NaN
244,110	949,869
245,718	NaN
247,219	950,118
248,828	NaN
250,329	950,397
251,939	NaN
253,440	951,024
255,050	NaN
256,551	951,799
258,159	NaN
259,661	952,136
261,270	NaN
262,771	952,282
264,382	NaN
265,884	952,791
267,495	NaN
268,996	953,525
270,606	NaN
272,107	953,994
273,717	NaN
275,218	954,147
276,828	NaN
278,329	954,282
279,939	NaN
281,440	954,651
283,055	NaN
284,556	955,451
286,166	NaN
287,668	956,008
289,277	NaN
290,778	956,294
292,388	NaN
293,890	956,708
295,500	NaN
297,002	957,459
298,612	NaN
300,114	957,997
301,723	NaN
303,226	958,201
304,836	NaN
306,336	958,366
307,946	NaN
309,446	958,783
311,056	NaN
312,558	959,517
314,167	NaN
315,669	960,072
317,278	NaN
318,779	960,309
320,387	NaN
321,889	960,454
323,497	NaN
324,998	960,886
326,610	NaN
328,110	961,608
329,720	NaN
331,220	962,120
332,827	NaN
334,328	962,269
335,937	NaN
337,439	962,390
339,049	NaN
340,549	962,639
342,157	NaN
343,659	963,185
345,268	NaN
346,769	963,855
348,379	NaN
349,880	964,220
351,489	NaN
352,990	964,432
354,600	NaN
356,101	964,801
357,711	NaN
359,213	965,385
360,823	NaN
362,324	965,970
363,932	NaN
365,434	966,285
367,043	NaN
368,544	966,462
370,153	NaN
371,655	966,729
373,264	NaN
374,765	967,288
376,376	NaN
